Id,Def,IDword,,,
1,Уменьш.-ласк. к старикъ (в знач. 1),1,,,
2,Об очень старом  животном,3,,,
3,"1. Долго, в течение долгого времени",4,,,
4,"2. Давно, с давних пор до настоящего времени",4,,,
5,"3. Много времени тому назад, задолго до настоящего времени",4,,,
6,"Несколько старообразный, кажущийся старше своих лет.",5,,,
7,"1. То же, что старообразный.",6,,,
8,"2. Выглядящий старым, старый на вид (о ткани).",6,,,
9,"Бывший в давнее время, в старину, древний. ",7,,,
10,"2. В знач.сущ. Старобытное, с. То, что было в старину, существовало с давних времен. ",7,,,
11,Известный с давних времен,8,,,
12,"Последователь религиозного направления, возникшего в результате церковного раскола в Русском государстве во вт. пол. XVII в., поддерживающий сохранение старины в церковной жизни и обрядности; старовер, старообрядец",9,,,
13,"Следование старой вере, старообрядчество",10,,,
14,"Из старовѣчности – издревле, издавна.",11,,,
15,"Давний, старинный",12,,,
16,"Давно, с давних времен существующий. ",13,,,
17,"Тот, кто живет где-л. с давнего времени и потому часто привлекается в качестве свидетеля при решении спорных земельных дел (особенно межевых).",14,,,
18,"1. Обычно мн. Категория тяглых крестьян на Руси XIV–XVII вв., исконно проживавших на определенных земельных участках.",15,,,
19,"2. Обычно мн. Авторитетные свидетели из числа давно живущих в этой местности жителей, привлекаемые к опросу при решении, главным образом, спорных земельных дел",15,,,
20,Принадлежащий старожилам,16,,,
21,Давно живущий где-л.,17,,,
22,"Место, где находились старые жилые постройки (?).",18,,,
23,Относящийся к старожилам (см. старожилъ в знач. 2),19,,,
24,"Древний, старинный",20,,,
25,"Древний, старинный (ср. польск. starożytny)",21,,,
26,"Тот, кто чтит, уважает старость",22,,,
27,Живущий в какой-л. местности с давних пор,23,,,
28,"Имеющий старческий вид, кажущийся старше своих лет",24,,,
29,"Земля, давно возделываемая под пашню",25,,,
30,"Старопечатные книги – церковные книги, напечатанные до исправления богослужебных книг, предпринятого в сер. XVII в.",26,,,
31,"Написанный или изображенный красками в старое, отдаленное время.",27,,,
32,"Исстари владеющий земельным наделом, пожалованным за службу",28,,,
33,Возведенный в сан священника еще до церковного раскола в Русском государстве (вт. пол. XVII в.).,29,,,
34,"Построенный давно, старинный. ",30,,,
35,Рукоположенный до церковного раскола в Русском государстве (вт. пол. XVII в.).,31,,,
36,"Житель, издавна поселившийся в какой-л. местности",32,,,
37,"/i>1. Старик, старец",33,,,
38,"2. Глава, начальник; правитель",33,,,
39,"3. Наиболее уважаемый и влиятельный член какого-л. сообщества, объединения, коллектива и т. п., который избирается или назначается для ведения общих дел. (1018)",33,,,
40,4. Представитель местного выборного самоуправления,33,,,
41,"5. Лицо, назначенное для осуществления надзора, присмотра, опеки за кем-л.",33,,,
42,"6. Представитель низшей княжеской администрации обычно из холопов, ведавший сельским населением вотчины или вотчинной пашней.",33,,,
43,7. Передача др,33,,,
44,Дочь старосты (в знач. 2, ср. ст.-польск. starościanka). У,35,,
45,1. Принадлежащий старосте (см. староста в знач. 2),36,,,
46,2. Принадлежащий старосте (см. староста в знач. 3),36,,,
47,3. Принадлежащий старосте (см. староста в знач. 4),36,,,
48,"То же, что старостный",37,,,
49,Жена старосты (см. староста в знач. 2, ср. ст.-польск. starościna). Е,38,,
50,"1. Править, исполнять должность старосты (см. староста в знач. 2)",39,,,
51,2. Занимать должность церковного старосты (см. староста в знач. 3),39,,,
52,3. Занимать должность старосты (см. староста в знач. 4),39,,,
53,Уничиж. к староста (в знач. 4),40,,,
54,Относящийся к старости, свойственный старости.,41,,
55,1. Старость,42,,,
56,"2. Родство, род",42,,,
57,3. Первенство в чем-л,42,,,
58,"4. В Польско-Литовском государстве – название земельного владения, передаваемого королем наместнику-старосте в пожизненное пользование за твердо установленные денежные и продуктовые поборы (ср. польск. starostwo)",42,,,
59,"1. Наступающий после зрелости период жизни, когда происходит постепенное ослабление жизнедеятельности организма; старые годы кого-л",43,,,
60,"2. Возраст, век.",43,,,
61,"3. Долговременное существование чего-л.; ветхость, обветшалость. (1356)",43,,,
62,Издревле установленный,45,,,
63,Издревле принятый в церкви. ,46,,,
64,Старая росчисть под пашню или луг,47,,,
65,/i>1. Должность старосты, время исполнения должности старосты (см. староста в знач. 3),48,,
66,2. Должность старосты, исполнение должности старосты (см. староста в знач. 4),48,,
67,3. Должность старосты, время исполнения должности старосты (см. староста в знач. 5),48,,
68,4. Округ управления одного старосты (см. староста в знач. 4),48,,,
69,"1. То же, что старческий (в знач. 6)",49,,,
70,2. (?). ,49,,,
71,1. Старая женщина,50,,,
72,2. Старое русло (реки).,50,,,
73,Очень старый,51,,,
74, Об очень старом мерине (старой кобыле).,52,,,
75,Ласк. к старуха (в знач. 1),53,,,
76,Относящийся к старцу (монаху).,54,,,
77,"1. Принадлежащий, свойственный старому человеку (старым людям).",55,,,
78,"2. Относящийся к старикам, стариковский или старушечий.",55,,,
79,"3. Относящийся к старейшинам, принадлежащий им",55,,,
80,"4. Относящийся к предкам, дедовский",55,,,
81,"5. Относящийся к отцам церкви, отеческий",55,,,
82,"6. Принадлежащий, свойственный монахам; монашеский. (1389)",55,,,
83,"1. Старейшинство, право входить в совет старейшин и судить народ.",56,,,
84,"2. Собир. Старейшины, старцы. (1409)",56,,,
85,"3. Монашеская жизнь, пребывание в монашеском чине; монашество.",56,,,
86,"4. Собир. Священники, духовенство",56,,,
87,"5. Название книги, содержащей жития и поучения святых преподобных отцов, особенно египетских отшельников; патерик (обычно скитский).",56,,,
88,/i>1. Уменьш.-ласк. к старецъ (в знач. 1),57,,,
89,2. Уменьш.-ласк. к старецъ (в знач. 2),57,,,
90,Уничиж.-ласк. к старецъ (в знач. 4),58,,,
91,Ласк. к старецъ (в знач. 4),59,,,
92,/i>1. Самый большой по возрасту.,60,,,
93,"2. Стоящий выше других по значению, главный",60,,,
94,"3. Бывалый, опытный",60,,,
95,"Начальник, главный",61,,,
